phi,label,score
16,Rabbits and Hares,0.8659530878067017
16,Sketch,0.8616085648536682
16,Domestic rabbit,0.7929191589355469
16,Illustration,0.7438470125198364
16,Snout,0.7342774271965027
16,Art,0.5813031792640686
16,Black-and-white,0.5640789866447449
17,Hare,0.9691485166549683
17,Rabbit,0.9115385413169861
17,Rabbits and Hares,0.8887146711349487
17,Drawing,0.8805356025695801
17,Domestic rabbit,0.8651980757713318
17,Sketch,0.8437027931213379
17,Illustration,0.7379721999168396
17,Snout,0.7342774271965027
17,Black-and-white,0.6834213137626648
17,Black tailed jackrabbit,0.6163585186004639
18,Hare,0.9673120379447937
18,Rabbit,0.9441512823104858
18,Rabbits and Hares,0.9138222336769104
18,Domestic rabbit,0.9042972326278687
18,Drawing,0.888995885848999
18,Sketch,0.8541415333747864
18,Snout,0.7840312123298645
18,Illustration,0.7593508362770081
18,Black-and-white,0.6834213137626648
18,Art,0.5813031792640686
19,Hare,0.954725444316864
19,Rabbit,0.9143831729888916
19,Drawing,0.9012458920478821
19,Sketch,0.885806679725647
19,Rabbits and Hares,0.8741945028305054
19,Black-and-white,0.7811979055404663
19,Domestic rabbit,0.7659644484519958
19,Illustration,0.7593508362770081
19,Snout,0.7342774271965027
19,Hand,0.6969173550605774
20,Mountain Cottontail,0.9769052863121033
20,Hare,0.9663841128349304
20,Rabbit,0.9322748184204102
20,Rabbits and Hares,0.9013529419898987
20,Domestic rabbit,0.8695890307426453
20,Drawing,0.8682894706726074
20,Sketch,0.8489958047866821
20,Snout,0.7342774271965027
20,Illustration,0.7095673680305481
20,Black-and-white,0.6834213137626648
21,Mountain Cottontail,0.9769052863121033
21,Hare,0.973629355430603
21,Rabbit,0.9480372667312622
21,Rabbits and Hares,0.9231203198432922
21,Domestic rabbit,0.8840745091438293
21,Drawing,0.8598524928092957
21,Sketch,0.8437027931213379
21,Snout,0.7342774271965027
21,Illustration,0.7175435423851013
21,Black tailed jackrabbit,0.7010645866394043
22,Hare,0.9537084102630615
22,Rabbit,0.926872193813324
22,Rabbits and Hares,0.8839150071144104
22,Drawing,0.8702816367149353
22,Domestic rabbit,0.8629586100578308
22,Sketch,0.8326247334480286
22,Snout,0.7342774271965027
22,Illustration,0.7175435423851013
22,Black tailed jackrabbit,0.6953787207603455
22,brown hare,0.5922989249229431
23,Mountain Cottontail,0.9769052863121033
23,Hare,0.9700572490692139
23,Rabbit,0.9608055949211121
23,Rabbits and Hares,0.9339848756790161
23,Domestic rabbit,0.9202943444252014
23,Drawing,0.8692909479141235
23,Sketch,0.8368605971336365
23,Black tailed jackrabbit,0.7585867643356323
23,Snout,0.7342774271965027
23,Illustration,0.7248833179473877
24,Hare,0.9654497504234314
24,Rabbit,0.9506112933158875
24,Rabbits and Hares,0.9200226664543152
24,Domestic rabbit,0.9059940576553345
24,Drawing,0.8722315430641174
24,Sketch,0.8326247334480286
24,Illustration,0.7593508362770081
24,Black-and-white,0.7436744570732117
24,Snout,0.7342774271965027
24,wood rabbit,0.5899665355682373
25,Hare,0.9771028757095337
25,Mountain Cottontail,0.9769052863121033
25,Rabbit,0.9683968424797058
25,Rabbits and Hares,0.9513756632804871
25,Domestic rabbit,0.9418267011642456
25,Drawing,0.904111921787262
25,Sketch,0.873466432094574
25,Illustration,0.7639288306236267
25,Snout,0.7342774271965027
25,Black tailed jackrabbit,0.7265044450759888
26,Hare,0.9691485166549683
26,Rabbit,0.9415420889854431
26,Rabbits and Hares,0.9107158780097961
26,Drawing,0.8960543870925903
26,Domestic rabbit,0.8879731893539429
26,Sketch,0.8711481094360352
26,Snout,0.7840312123298645
26,Black-and-white,0.7436744570732117
26,Illustration,0.7316700220108032
26,wood rabbit,0.6025974750518799
27,Hare,0.949566125869751
27,Rabbit,0.926872193813324
27,Domestic rabbit,0.8860366940498352
27,Drawing,0.8750816583633423
27,Rabbits and Hares,0.8692662715911865
27,Sketch,0.8354599475860596
27,Black-and-white,0.7436744570732117
27,Illustration,0.7379721999168396
27,Snout,0.7342774271965027
27,wood rabbit,0.6067000031471252
28,Mountain Cottontail,0.9697958827018738
28,Hare,0.954725444316864
28,Rabbit,0.9322748184204102
28,Domestic rabbit,0.9109517931938171
28,Rabbits and Hares,0.9107158780097961
28,Drawing,0.8598524928092957
28,Sketch,0.8409972786903381
28,Snout,0.7342774271965027
28,Illustration,0.7008524537086487
28,Black-and-white,0.6834213137626648
29,Hare,0.9771028757095337
29,Rabbit,0.9658669829368591
29,Domestic rabbit,0.9465146064758301
29,Rabbits and Hares,0.9449751377105713
29,Drawing,0.9103320240974426
29,Sketch,0.8676224946975708
29,Snout,0.7840312123298645
29,Black-and-white,0.7811979055404663
29,Illustration,0.7593508362770081
29,Mountain Cottontail,0.7379544973373413
30,Hare,0.9745069146156311
30,Rabbit,0.9633374810218811
30,Rabbits and Hares,0.9465644955635071
30,Domestic rabbit,0.9342929720878601
30,Drawing,0.8968108296394348
30,Sketch,0.8780305981636047
30,Snout,0.7840312123298645
30,Illustration,0.7799686789512634
30,Black-and-white,0.7436744570732117
30,Art,0.6253476738929749
31,Hare,0.9753783345222473
31,Rabbit,0.9595379829406738
31,Rabbits and Hares,0.9402403831481934
31,Domestic rabbit,0.9187885522842407
31,Drawing,0.8983084559440613
31,Sketch,0.8566627502441406
31,Snout,0.7840312123298645
31,Black-and-white,0.7811979055404663
31,Illustration,0.7316700220108032
31,Ear,0.6655469536781311
32,Hare,0.9804788827896118
32,Rabbit,0.973471462726593
32,Rabbits and Hares,0.9612792134284973
32,Domestic rabbit,0.9187885522842407
32,Drawing,0.904111921787262
32,Sketch,0.8502956032752991
32,Illustration,0.7932002544403076
32,Snout,0.7840312123298645
32,Black-and-white,0.7436744570732117
32,Line art,0.633745551109314
33,Hare,0.9771028757095337
33,Mountain Cottontail,0.9767372012138367
33,Rabbit,0.96207195520401
